Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,xG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29.0,1989.0,30.03,3.0,17.0,5.0,1.04,29.04,0.56,0.17,0.18,0.6,21.07
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,30.0,1989.0,35.2,0.0,19.0,4.0,1.0,21.01,0.54,0.11,0.0,0.0,25.04
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,31.0,1989.0,30.03,2.0,18.0,3.0,1.01,16.07,0.59,0.1,0.11,0.67,20.05
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,32.0,1989.0,24.08,0.0,9.0,1.0,0.3,11.01,0.36,0.04,0.0,0.0,22.05
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33.0,1989.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Bournemouth,eng Premier League,21.0,1998.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22.0,1998.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23.0,1998.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24.0,1998.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25.0,1998.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,21.0,1997.0,34.1,0.0,7.0,1.0,0.7,14.03,0.21,0.03,0.0,0.0,15.05
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,22.0,1997.0,34.0,2.0,7.0,4.0,0.9,57.1,0.21,0.12,0.29,0.5,15.02
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,23.0,1997.0,19.09,0.0,5.0,1.0,0.3,20.0,0.25,0.05,0.0,0.0,14.01
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,24.0,1997.0,15.09,0.0,10.0,2.0,1.02,20.0,0.63,0.13,0.0,0.0,14.07
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25.0,1997.0,19.08,0.0,3.0,1.0,0.1,33.3,0.15,0.05,0.0,0.0,20.02
Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,22.0,1997.0,19.09,0.0,9.0,3.0,0.3,33.3,0.45,0.15,0.0,0.0,23.08
Aarón Martín,es ESP,DF-FW,Mainz 05,de Bundesliga,23,1997,19.1,0.0,6.0,1.0,0.2,10.0,0.32,0.03,0.0,0.0,21.04
Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,24.0,1997.0,25.05,1.0,18.0,5.0,1.0,27.08,0.71,0.2,0.06,0.2,21.05
Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,25.0,1997.0,20.05,5.0,18.0,7.0,2.02,38.9,0.88,0.34,0.28,0.71,25.09
Aarón Martín,es ESP,DF,Genoa,it Serie A,26.0,1997.0,15.03,0.0,5.0,0.0,0.2,0.0,0.33,0.0,0.0,0.0,24.08
Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,26.0,1993.0,35.1,4.0,61.0,12.0,5.02,19.07,1.74,0.34,0.07,0.33,18.03
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,27.0,1993.0,27.01,2.0,18.0,5.0,2.03,27.08,0.66,0.18,0.11,0.4,17.04
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,28.0,1993.0,28.02,2.0,34.0,11.0,2.02,32.4,1.21,0.39,0.06,0.18,17.09
Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,29.0,1993.0,17.0,5.0,20.0,8.0,2.04,40.0,1.17,0.47,0.25,0.63,13.02
Abdoulaye Doucouré,ml MLI,FW-MF,Everton,eng Premier League,30,1993,29.2,7.0,47.0,21.0,8.08,44.7,1.61,0.72,0.15,0.33,12.02
Achraf Hakimi,ma MAR,DF-MF,Dortmund,de Bundesliga,20,1998,30.2,5.0,38.0,20.0,4.09,52.6,1.26,0.66,0.13,0.25,16.02
Achraf Hakimi,ma MAR,DF,Inter,it Serie A,21.0,1998.0,29.06,7.0,39.0,16.0,4.07,41.0,1.32,0.54,0.18,0.44,17.0
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,22.0,1998.0,27.05,4.0,20.0,10.0,2.05,50.0,0.73,0.36,0.2,0.4,15.09
Achraf Hakimi,ma MAR,DF-MF,Paris S-G,fr Ligue 1,23,1998,22.08,5.0,18.0,9.0,3.08,50.0,0.79,0.39,0.28,0.56,14.09
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24.0,1998.0,21.05,4.0,42.0,12.0,4.02,28.06,1.96,0.56,0.1,0.33,19.08
Adam Lallana,eng ENG,MF-FW,Liverpool,eng Premier League,31,1988,4.02,1.0,5.0,1.0,0.8,20.0,1.18,0.24,0.2,1.0,16.03
Adam Lallana,eng ENG,MF-FW,Brighton,eng Premier League,32,1988,17.07,1.0,22.0,5.0,1.06,22.07,1.24,0.28,0.05,0.2,17.03
Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33.0,1988.0,17.03,0.0,19.0,4.0,1.01,21.01,1.1,0.23,0.0,0.0,19.08
Adam Lallana,eng ENG,MF-FW,Brighton,eng Premier League,34,1988,8.0,2.0,8.0,5.0,0.9,62.5,1.0,0.62,0.25,0.4,13.03
Adam Lallana,eng ENG,MF-FW,Brighton,eng Premier League,35,1988,9.04,0.0,11.0,2.0,0.8,18.02,1.16,0.21,0.0,0.0,17.08
Adam Marušić,me MNE,DF,Lazio,it Serie A,26.0,1992.0,10.05,2.0,11.0,6.0,1.09,54.5,1.05,0.57,0.18,0.33,12.06
Adam Marušić,me MNE,DF,Lazio,it Serie A,27.0,1992.0,33.0,2.0,27.0,12.0,2.02,44.4,0.82,0.36,0.07,0.17,15.04
Adam Marušić,me MNE,DF,Lazio,it Serie A,28.0,1992.0,30.2,1.0,8.0,3.0,0.2,37.5,0.26,0.1,0.13,0.33,25.05
Adam Marušić,me MNE,DF,Lazio,it Serie A,29.0,1992.0,30.07,0.0,16.0,7.0,0.7,43.8,0.52,0.23,0.0,0.0,24.0
Adam Marušić,me MNE,DF,Lazio,it Serie A,30.0,1992.0,34.4,1.0,8.0,3.0,0.4,37.5,0.23,0.09,0.13,0.33,19.09
Adam Ounas,dz ALG,FW-MF,Nice,fr Ligue 1,22,1996,12.05,2.0,21.0,9.0,2.0,42.9,1.68,0.72,0.1,0.22,17.09
Adam Ounas,dz ALG,MF-FW,Cagliari,it Serie A,23,1996,16.07,4.0,31.0,10.0,2.93,20.0,1.82,0.38,0.08,0.4,18.02
Adam Ounas,dz ALG,MF-FW,Napoli,it Serie A,24,1996,3.06,0.0,13.0,2.0,0.7,15.04,3.59,0.55,0.0,0.0,18.07
Adam Ounas,dz ALG,FW-MF,Lille,fr Ligue 1,25,1996,11.28,1.0,27.0,9.0,2.03,17.3,4.1,0.38,0.02,0.11,23.03
Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26.0,1996.0,4.06,1.0,9.0,3.0,0.6,33.3,1.94,0.65,0.11,0.33,18.06
Adam Webster,eng ENG,DF,Brighton,eng Premier League,24.0,1995.0,29.06,3.0,16.0,7.0,1.03,43.8,0.54,0.24,0.19,0.43,13.06
Adam Webster,eng ENG,DF,Brighton,eng Premier League,25.0,1995.0,28.08,1.0,25.0,7.0,2.0,28.0,0.87,0.24,0.04,0.14,13.08
Adam Webster,eng ENG,DF,Brighton,eng Premier League,26.0,1995.0,15.09,2.0,8.0,2.0,0.9,25.0,0.5,0.13,0.25,1.0,11.02
Adam Webster,eng ENG,DF,Brighton,eng Premier League,27.0,1995.0,22.01,0.0,18.0,2.0,1.08,11.01,0.82,0.09,0.0,0.0,11.02
Adam Webster,eng ENG,DF,Brighton,eng Premier League,28.0,1995.0,12.07,0.0,8.0,0.0,0.4,0.0,0.63,0.0,0.0,0.0,9.09
Adama Traoré,es ESP,FW-DF,Wolves,eng Premier League,23,1996,28.09,4.0,43.0,12.0,3.08,27.09,1.49,0.41,0.09,0.33,19.08
Adama Traoré,es ESP,FW-MF,Wolves,eng Premier League,24,1996,29.04,2.0,43.0,13.0,2.0,30.2,1.46,0.44,0.05,0.15,19.07
Adama Traoré,es ESP,FW,Barcelona,es La Liga,25.0,1996.0,15.11,1.0,32.0,8.0,3.7,27.18,2.03,0.56,0.02,0.1,17.04
Adama Traoré,es ESP,FW-MF,Wolves,eng Premier League,26,1996,16.06,2.0,19.0,7.0,1.04,36.8,1.14,0.42,0.11,0.29,15.0
Adama Traoré,es ESP,FW-MF,Fulham,eng Premier League,27,1996,4.02,2.0,11.0,7.0,1.05,63.6,2.63,1.67,0.18,0.29,16.0
Ademola Lookman,ng NGA,FW-MF,RB Leipzig,de Bundesliga,21,1997,3.04,0.0,10.0,1.0,1.03,10.0,2.91,0.29,0.0,0.0,16.01
Ademola Lookman,ng NGA,FW-MF,Fulham,eng Premier League,22,1997,30.05,4.0,68.0,22.0,6.03,32.4,2.23,0.72,0.06,0.18,17.08
Ademola Lookman,ng NGA,FW-MF,Leicester City,eng Premier League,23,1997,16.01,6.0,26.0,12.0,4.05,46.2,1.61,0.74,0.23,0.5,15.0
Ademola Lookman,ng NGA,FW-MF,Atalanta,it Serie A,24,1997,19.02,13.0,49.0,23.0,9.01,46.9,2.55,1.2,0.2,0.43,15.08
Ademola Lookman,ng NGA,FW-MF,Atalanta,it Serie A,25,1997,21.0,11.0,67.0,24.0,9.01,35.8,3.18,1.14,0.16,0.46,14.03
Adnan Januzaj,be BEL,FW-MF,Real Sociedad,es La Liga,24,1995,13.0,3.0,24.0,8.0,1.09,33.3,1.85,0.62,0.13,0.38,20.03
Adnan Januzaj,be BEL,FW-MF,Real Sociedad,es La Liga,25,1995,11.03,4.0,29.0,9.0,5.0,31.0,2.57,0.8,0.03,0.11,22.01
Adnan Januzaj,be BEL,FW-MF,Real Sociedad,es La Liga,26,1995,18.01,3.0,40.0,13.0,4.01,32.5,2.22,0.72,0.03,0.08,23.01
Adnan Januzaj,be BEL,FW,Sevilla,es La Liga,27.0,1995.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnan Januzaj,be BEL,FW-MF,Sevilla,es La Liga,28,1995,2.01,0.0,6.0,1.0,0.6,16.07,2.8,0.47,0.0,0.0,16.08
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,24.0,1995.0,21.02,1.0,20.0,6.0,1.05,30.0,0.94,0.28,0.05,0.17,19.01
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,25.0,1995.0,25.07,4.0,33.0,12.0,2.07,36.4,1.28,0.47,0.12,0.33,17.05
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26.0,1995.0,25.04,0.0,26.0,7.0,2.01,26.09,1.02,0.28,0.0,0.0,17.02
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,27.0,1995.0,30.05,8.0,48.0,22.0,6.02,45.8,1.57,0.72,0.17,0.36,16.04
Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28.0,1995.0,29.05,5.0,38.0,16.0,3.05,42.1,1.29,0.54,0.13,0.31,16.09
Adrien Tameze,cm CMR,MF,Nice,fr Ligue 1,25.0,1994.0,7.11,1.0,5.0,1.0,0.8,20.0,0.44,0.08,0.2,1.0,14.08
Adrien Tameze,cm CMR,MF,Hellas Verona,it Serie A,26.0,1994.0,25.06,1.0,18.0,3.0,1.02,16.07,0.7,0.12,0.06,0.33,21.04
Adrien Tameze,cm CMR,MF-DF,Hellas Verona,it Serie A,27,1994,28.06,4.0,23.0,7.0,1.02,30.04,0.8,0.24,0.17,0.57,21.05
